duration_h,2,5,10,20,50,100
1,18.61,25.8,31.67,38.28,48.56,57.78
2,10.755,15.37,19.295,23.875,31.27,38.15
3,8.193,11.647,14.377,17.383,21.937,25.917
6,4.725,6.757,8.547,10.698,14.288,17.735
12,2.802,4.136,5.382,6.953,9.719,12.518
24,1.382,2.001,2.541,3.183,4.245,5.254
