duration_h,2,5,10,20,50,100
1,19.52,27.04,32.02,36.8,42.98,47.61
2,22.91,32.62,39.04,45.2,53.18,59.16
3,25.67,36.4,43.5,50.32,59.14,65.75
6,30.45,43.18,51.61,59.69,70.15,77.99
12,36.9,53.8,65.0,75.73,89.63,100.05
24,35.74,51.18,61.41,71.21,83.9,93.41
